HOLE.ID,LOCATIONX,LOCATIONY,LOCATIONZ,LENGTH,LEVEL,AREA,ROCKCODE,SAMP_BY,DATE_SAMP,TENEMENT
515_SDN_16S_E_001,615020.54,815505.89,515,2.4,515,SDN,140,,,
515_SDN_16S_E_002,615021.55,815504.6,515,2.3,515,SDN,140,,,
515_SDN_16S_E_003,615022.51,815502.85,515,2.5,515,SDN,140,,,
515_SDN_16S_E_004,615023.75,815501.85,515,4,515,SDN,140,,,
515_SDN_16S_E_005,615025.26,815500.79,515,4.2,515,SDN,140,,,
515_SDN_16S_E_006,615028.3,815498.39,515,4.2,515,SDN,140,,,
515_SDN_16S_E_007,615031.74,815496.41,515,3,515,SDN,140,,,
575_SDNS_105S_ODE_001,615691.24,814895.98,575,3.5,575,SDN,141,,,
575_SDNS_105S_ODE_002,615692.68,814894,575,3.8,575,SDN,141,,,
575_SDNS_105S_ODE_003,615695.51,814891.25,575,2.9,575,SDN,141,,,
575_SDNS_105S_ODE_004,615696.64,814889.97,575,3.6,575,SDN,141,,,
575_SDNS_105S_ODE_005,615698.33,814888.15,575,3.4,575,SDN,141,,,
575_SDNS_105S_ODE_006,615704.4,814883.04,575,2.4,575,SDN,141,,,
575_SDNS_105S_ODE_007,615706.06,814880.98,575,3,575,SDN,141,,,
575_SDNS_105S_ODW_001,615687.69,814900.98,575,3.4,575,SDN,141,,,
575_SDNS_105S_ODW_002,615684.37,814900.29,575,3.3,575,SDN,141,,,
575_SDNS_105S_ODW_003,615677.98,814898.03,575,3.8,575,SDN,141,,,
575_SDNS_105S_ODW_004,615672.45,814896.52,575,3.4,575,SDN,141,,,
575_SDNS_105S_ODW_005,615667.31,814894.58,575,3,575,SDN,141,,,
575_SDNS_105S_ODW_006,615658.07,814890.85,575,4.2,575,SDN,141,,,
575_SDNS_105S_ODW_007,615653.71,814889.22,575,4,575,SDN,141,,,
575_SDNS_105S_ODW_008,615650.6,814888.39,575,3.6,575,SDN,141,,,
620_JESSIE_HWS_112S_E_001,615862.17,814964.43,620,4.8,620,JESSIE,161,,,
635_SDNS_109S_ODW_001,615688.74,814875.97,635,3.2,635,SDN,141,,,
635_SDNS_109S_ODW_002,615686.78,814875.74,635,3.3,635,SDN,141,,,
BBK_500E_001,614800.82,815979.75,497.78,3.7,500,BBK,130,,,
BBK_500E_002,614801.65,815976.7,497.77,2.8,500,BBK,130,,,
BBK_500E_003,614802.67,815975.17,497.76,2.8,500,BBK,130,,,
BBK_500E_004,614804.21,815971.98,497.87,1.3,500,BBK,130,,,
BBK_500E_005,614805.83,815969.94,497.94,3.2,500,BBK,130,,,
BBK_500E_006,614807.01,815968.06,498.01,2.3,500,BBK,130,,,
BBK_500E_007,614814.46,815957.39,498.4,2.5,500,BBK,130,,,
BBK_500E_008,614818.18,815952.43,498.53,4.2,500,BBK,130,,,
BBK_500E_009,614822.1,815945.97,498.7,3.5,500,BBK,130,,,
