HOLE.ID,DISTANCE,AZIMUTH,DIP
515_SDN_16S_E_001,0,50.87,0
515_SDN_16S_E_002,0,51.32,0
515_SDN_16S_E_003,0,51.98,0
515_SDN_16S_E_004,0,48.77,0
515_SDN_16S_E_005,0,42.2,0
515_SDN_16S_E_006,0,35.65,0
515_SDN_16S_E_007,0,37.73,0
575_SDNS_105S_ODE_001,0,60.52,0
575_SDNS_105S_ODE_002,0,55,0
575_SDNS_105S_ODE_003,0,48.55,0
575_SDNS_105S_ODE_004,0,46.63,0
575_SDNS_105S_ODE_005,0,46.33,0
575_SDNS_105S_ODE_006,0,47.83,0
575_SDNS_105S_ODE_007,0,51.03,0
575_SDNS_105S_ODW_001,0,339.94,0
575_SDNS_105S_ODW_002,0,335.58,0
575_SDNS_105S_ODW_003,0,344.82,0
575_SDNS_105S_ODW_004,0,342.49,0
575_SDNS_105S_ODW_005,0,341.98,0
575_SDNS_105S_ODW_006,0,342.12,0
575_SDNS_105S_ODW_007,0,341.99,0
575_SDNS_105S_ODW_008,0,343.9,0
620_JESSIE_HWS_112S_E_001,0,13.76,0
635_SDNS_109S_ODW_001,0,354.92,0
635_SDNS_109S_ODW_002,0,354.63,0
BBK_500E_001,0,235,0
BBK_500E_002,0,246,0
BBK_500E_003,0,246,0
BBK_500E_004,0,236,0
BBK_500E_005,0,232,0
BBK_500E_006,0,232,0
BBK_500E_007,0,234,0
BBK_500E_008,0,234,0
BBK_500E_009,0,230,0
BBK_500E_010,0,237,0
BBK_500E_011,0,238,0
BBK_500E_012,0,248,0
BBK_500E_013,0,248,0
BBK_500E_014,0,271,0
BBK_500W_001,0,239,0
BBK_500W_002,0,236,0
BBK_500W_003,0,248,0
BBK_500W_004,0,229,0
BBK_500W_005,0,229,0
BBK_500W_006,0,229,0
BBK_500W_007,0,229,0
BBK_500W_008,0,218,0
BBK_500W_009,0,220,0
BBK_500W_010,0,220,0
BBK_500W_011,0,220,0
BBK_500W_012,0,210,0
BBK_515E_001,0,251,0
BBK_515E_002,0,254,0
BBK_515E_003,0,249,0
BBK_515E_004,0,242,0
BBK_515E_005,0,237,0
BBK_515E_006,0,235,0
BBK_515E_007,0,237,0
BBK_515E_008,0,236,0
BBK_515E_009,0,233,0
BBK_515E_010,0,233,0
BBK_515E_011,0,230,0
BBK_515E_012,0,235,0
BBK_515E_013,0,239,0
BBK_515E_014,0,239,0
BBK_515E_015,0,239,0
BBK_515E_016,0,247,0
BBK_515E_017,0,245,0
BBK_515E_018,0,241,0
BBK_515E_019,0,241,0
BBK_515E_020,0,233,0
BBK_515E_021,0,235,0
BBK_515E_022,0,237,0
BBK_515E_023,0,245,0
BBK_515E_024,0,240,0
BBK_515E_025,0,249,0
BBK_515E_026,0,243,0
BBK_515E_027,0,235,0
BBK_515E_028,0,238,0
BBK_515E_029,0,246,0
BBK_515E_030,0,247,0
BBK_515E_031,0,254,0
BBK_515W_001,0,242,0
BBK_515W_002,0,242,0
BBK_515W_003,0,250,0
BBK_515W_004,0,235,0
BBK_515W_005,0,227,0
BBK_515W_006,0,227,0
BBK_515W_007,0,227,0
BBK_515W_008,0,230,0
BBK_530E_001,0,239,0
BBK_530E_002,0,239,0
BBK_530E_003,0,239,0
BBK_530E_004,0,239,0
BBK_530E_005,0,239,0
BBK_530E_006,0,239,0
BBK_530E_007,0,239,0
BBK_530E_008,0,239,0
BBK_530E_009,0,239,0
BBK_530E_010,0,239,0
BBK_530E_011,0,239,0
BBK_530E_012,0,233,0
BBK_530E_013,0,233,0
BBK_530E_014,0,233,0
BBK_530E_015,0,233,0
BBK_530E_016,0,233,0
BBK_530E_017,0,235,0
BBK_530E_018,0,235,0
BBK_530E_019,0,235,0
BBK_530E_020,0,228,0
BBK_530E_021,0,228,0
BBK_530E_022,0,228,0
BBK_530E_023,0,230,0
BBK_530E_024,0,230,0
BBK_530E_025,0,230,0
BBK_530E_026,0,230,0
BBK_530E_028,0,248,0
BBK_530E_029,0,251,0
BBK_530E_030,0,251,0
BBK_530E_031,0,246,0
BBK_530E_032,0,251,0
BBK_530E_033,0,251,0
BBK_530E_034,0,240,0
BBK_530E_035,0,240,0
BBK_530W_000B,0,268,0
BBK_530W_001B,0,259,0
BBK_530W_002B,0,252,0
BBK_530W_005,0,255,0
BBK_530W_006,0,255,0
BBK_530W_007,0,255,0
BBK_530W_008,0,255,0
BBK_530W_009,0,255,0
BBK_530W_010,0,255,0
BBK_530W_011,0,255,0
BBK_530W_012,0,248,0
BBK_530W_013,0,248,0
BBK_530W_014,0,252,0
BBK_530W_015,0,252,0
BBK_530W_016,0,251,0
BBK_530W_017,0,251,0
BBK_530W_018,0,251,0
BBK_530W_019,0,251,0
BBK_530W_020,0,255,0
BBK_530W_021,0,248,0
BBK_530W_022,0,248,0
BBK_530W_023,0,248,0
BBK_530W_024,0,254,0
BBK_530W_025,0,254,0
BBK_530W_026,0,254,0
BBK_530W_027,0,254,0
BBK_530W_028,0,254,0
BBK_530W_029,0,247,0
BBK_545E_001,0,249,0
BBK_545E_002,0,235,0
BBK_545E_003,0,231,0
BBK_545E_004,0,231,0
BBK_545E_005,0,231,0
BBK_545E_006,0,231,0
BBK_545E_007,0,231,0
BBK_545E_008,0,231,0
BBK_545E_009,0,231,0
BBK_545W_001,0,244,0
BBK_545W_002,0,240,0
BBK_545W_003,0,243,0
BBK_545W_004,0,236,0
BBK_545W_005,0,236,0
BBK_545W_006,0,239,0
BBK_545W_007,0,238,0
BBK_545W_008,0,236,0
BBK_545W_009,0,238,0
BBK_545W_010,0,231,0
BBK_545W_011,0,234,0
BBK_545W_012,0,231,0
BBK_545W_013,0,231,0
