HOLE-ID,FROM,TO,AU_G/T,AG_G/T,CU%,PB%,ZN%,SG,LENGTH,ROCK_TYPE,ROCKCODE,MV_WIDTH,LAB_RECVED,LAB_RPRTED,BATCH_NO,SAMPLE_NO
MAI_710_197E_E_001,0,0.5,0.44,6.19,0.04,0.01,0.03,,0.5,FW,220,,11/19/2020,11/19/2020,B-2023471,471139
MAI_710_197E_E_001,0.5,2.2,0.38,4.29,0.01,0.02,0.04,,1.7,FW,220,,11/19/2020,11/19/2020,B-2023471,471140
MAI_710_197E_E_001,2.2,2.7,1.36,20.7,0.01,0.04,0.08,,0.5,MV,220,0.5,11/19/2020,11/19/2020,B-2023471,471141
MAI_710_197E_E_002,0,0.8,0.24,0,0,0,0.05,,0.8,FW,220,,10/16/2020,10/16/2020,B-2023101,465324
MAI_710_197E_E_002,0.8,1.4,0.71,4.68,0.02,0.17,0.25,,0.6,MV,220,0.6,10/16/2020,10/16/2020,B-2023101,465325
MAI_710_197E_E_002,1.4,2.6,0.19,0.54,0.01,0.01,0.14,,1.2,HW,220,,10/16/2020,10/16/2020,B-2023101,465326
MAI_710_197E_E_002,2.6,3.6,0.21,0,0.01,0.01,0.02,,1,HW,220,,10/16/2020,10/16/2020,B-2023101,465327
JESSIE_605_118S_E_001,0,1.9,0.22,0.56,0.01,0.05,0.15,,1.9,FW,160,,8/31/2020,8/31/2020,B-2022564,454953
JESSIE_605_118S_E_001,1.9,2.4,11.81,67.28,0.01,0.06,0.32,,0.5,MV,160,0.5,8/31/2020,8/31/2020,B-2022564,454954
JESSIE_605_118S_E_001,2.4,2.7,2.2,25.68,0.05,0.12,0.18,,0.3,MV,160,0.3,8/31/2020,8/31/2020,B-2022564,454955
JESSIE_605_118S_E_001,2.7,2.9,0.35,1.07,0.01,0.04,0.22,,0.2,MV,160,0.2,8/31/2020,8/31/2020,B-2022564,454956
JESSIE_605_118S_E_001,2.9,3.6,0.26,1.51,0,0.03,0.04,,0.7,HW,160,,8/31/2020,8/31/2020,B-2022564,454957
JESSIE_605_118S_E_002,0,1.7,0.87,1.89,0.01,0.01,0.1,,1.7,FW,160,,09/05/2020,09/05/2020,B-2022636,455973
JESSIE_605_118S_E_002,1.7,2.8,0.84,0,0.01,0.01,0.05,,1.1,FW,160,,09/05/2020,09/05/2020,B-2022636,455974
JESSIE_605_118S_E_002,2.8,3,0.76,3.88,0.01,0.01,0.17,,0.2,MV,160,0.2,09/05/2020,09/05/2020,B-2022636,455975
JESSIE_605_118S_E_002,3,3.4,4.19,9.49,0.03,0.05,0.2,,0.4,MV,160,0.4,09/05/2020,09/05/2020,B-2022636,455976
JESSIE_605_118S_E_003,0,1.3,0.65,2.54,0.02,0.04,0.28,,1.3,FW,160,,09/09/2020,09/09/2020,B-2022688,456766
JESSIE_605_118S_E_003,1.3,2.6,0.84,2.19,0.02,0.02,0.26,,1.3,FW,160,,09/09/2020,09/09/2020,B-2022688,456767
JESSIE_605_118S_E_003,2.6,3.8,0.78,4.59,0.03,0.08,0.27,,1.2,FW,160,,09/09/2020,09/09/2020,B-2022688,456768
JESSIE_605_118S_E_003,3.8,4.3,16.27,75.83,0.13,0.02,0.1,,0.5,MV,160,0.5,09/09/2020,09/09/2020,B-2022688,456769
JESSIE_605_118S_E_004,0,1.1,6.22,21.36,0.12,0.15,0.31,,1.1,FW,160,,09/12/2020,09/12/2020,B-2022727,457342
JESSIE_605_118S_E_004,1.1,1.7,5.58,44.15,0.32,0.08,0.3,,0.6,MV,160,0.6,09/12/2020,09/12/2020,B-2022727,457343
JESSIE_605_118S_E_004,1.7,2.2,14.17,48.91,0.14,0.04,0.43,,0.5,MV,160,0.5,09/12/2020,09/12/2020,B-2022727,457344
JESSIE_605_118S_E_004,2.2,2.5,13.77,64.73,0.13,0.04,0.07,,0.3,HW,160,,09/12/2020,09/12/2020,B-2022727,457345
JESSIE_605_118S_W_001,0,1.5,0.3,0.48,0.01,0.01,0.02,,1.5,FW,160,,9/16/2020,9/16/2020,B-2022770,459065
JESSIE_605_118S_W_001,1.5,2.6,1.54,7.44,0.01,0.01,0.04,,1.1,MV,160,1.1,9/16/2020,9/16/2020,B-2022770,459066
JESSIE_605_118S_W_001,2.6,3.2,2.8,15.7,0.01,0.04,0.09,,0.6,MV,160,0.6,9/16/2020,9/16/2020,B-2022770,459067
JESSIE_605_118S_W_001,3.2,4,0.16,0,0.01,0.03,0.18,,0.8,HW,160,,9/16/2020,9/16/2020,B-2022770,459068
JESSIE_605_118S_W_002,0,1,0,0,0,0,0.03,,1,FW,160,,9/18/2020,9/18/2020,B-2022798,459461
JESSIE_605_118S_W_002,1,1.5,0.1,5.79,0.01,0.04,0.42,,0.5,MV,160,0.5,9/18/2020,9/18/2020,B-2022798,459462
JESSIE_605_118S_W_002,1.5,2.5,0.1,0,0.01,0.01,0.04,,1,HW,160,,9/18/2020,9/18/2020,B-2022798,459463
JESSIE_620_120S_E_002,0,1,6.81,76.05,0.31,0.04,0.2,,1,FW,160,,9/20/2020,9/20/2020,B-2022818,457964
JESSIE_620_120S_E_002,1,2,0.97,7.15,0.07,0.37,2.09,,1,MV,160,1,9/20/2020,9/20/2020,B-2022818,457965
JESSIE_620_120S_E_002,2,3,1.19,11.96,0.1,0.23,2.63,,1,MV,160,1,9/20/2020,9/20/2020,B-2022818,457966
JESSIE_620_120S_E_002,3,3.6,1.01,17.25,0.25,0.27,2.26,,0.6,HW,160,,9/20/2020,9/20/2020,B-2022818,457967
JESSIE_620_120S_E_003,0,1.1,0.84,15.58,0.11,0.02,0.16,,1.1,FW,160,,9/24/2020,9/24/2020,B-2022852,460327
JESSIE_620_120S_E_003,1.1,1.7,0.37,1.55,0.05,0.03,0.1,,0.6,FW,160,,9/24/2020,9/24/2020,B-2022852,460328
