HOLE-ID,LOCATIONX,LOCATIONY,LOCATIONZ,LENGTH,LEVEL,AREA,ROCKCODE,SAMP_BY,DATE_SAMP,TENEMENT
485_SDN_60S_W_001,615316.75,815187.94,485,4,485,SDN,140,E.FAUSTINO/R.PARADIANG,02/05/2021,
485_SDN_60S_W_002,615312.96,815190.7,485,3.4,485,SDN,140,E.FAUSTINO/R.PARADIANG,03/01/2021,
485_SDN_60S_W_002,615311.53,815191.86,485,3.8,485,SDN,140,L.BITANG/D.ASENA,03/03/2021,
485_SDN_60S_W_004,615307.77,815195.41,485,3.6,485,SDN,140,E.FAUSTINO/R.PARADIANG,03/04/2021,
485_SDN_60S_W_005,615305.9,815196.79,485,4.6,485,SDN,140,L.BITANG/D.ASENA,03/07/2021,
485_SDN_60S_W_006,615304.1,815197.98,485,3.9,485,SDN,140,R.YBANEZ/O.SUNGANGA,03/11/2021,
485_SDN_60S_W_009,615295.43,815202.73,485,4.2,485,SDN,140,E.FAUSTINO/R.PARADIANG,3/16/2021,
485_SDN_60S_W_010,615293.99,815207.98,485,3.9,485,SDN,140,AJB,3/17/2021,
485_SDN_60S_W_014,615288.78,815216.07,485,3.3,485,SDN,140,R. PARADIANG/L. BITANG,4/22/2021,
485_SDN_60S_W_015,615277.73,815223.41,485,3.6,485,SDN,140,AJB,06/12/2021,
485_SDN_60S_W_016,615276.06,815224.55,485,3.3,485,SDN,140,R. PARADIANG/L. BITANG,06/12/2021,
485_SDN_E_001,615328.19,815176.73,485,3.1,485,SDN,140,R. PARADIANG,2/23/2021,
485_SDN_E_002,615331.75,815174.29,485,3.8,485,SDN,140,R. PARADIANG,2/25/2021,
485_SDN_E_003,615333.7,815172.59,485,3.3,485,SDN,140,R. PARADIANG,2/26/2021,
485_SDN_E_005,615338.22,815167.73,485,3.1,485,SDN,140,R. PARADIANG,3/19/2021,
485_SDN_E_006,615341.94,815164.44,485,3.7,485,SDN,140,R. PARADIANG,03/11/2021,
485_SDN_E_007,615344.63,815162.82,485,3.6,485,SDN,140,L. BITANG/ D. ASENA,4/21/2021,
485_SDN_E_008,615348.97,815160.42,485,4.3,485,SDN,140,R. PARADIANG,4/26/2021,
485_SDN_E_009,615352.73,815158.08,485,3.2,485,SDN,140,R. PARADIANG,4/29/2021,
