HOLE-ID,DISTANCE,AZIMUTH,DIP,
MAI_710_197E_E_001,0.00,16.67,0.00,
MAI_710_197E_E_002,0.00,16.36,0.00,
JESSIE_605_118S_E_001,0.00,2.83,0.00,
JESSIE_605_118S_E_002,0.00,2.87,0.00,
JESSIE_605_118S_E_003,0.00,359.94,0.00,
JESSIE_605_118S_E_004,0.00,353.77,0.00,
JESSIE_605_118S_W_001,0.00,6.96,0.00,
JESSIE_605_118S_W_002,0.00,5.16,0.00,
JESSIE_620_120S_E_002,0.00,46.18,0.00,
JESSIE_620_120S_E_003,0.00,53.81,0.00,
JESSIE_620_120S_E_004,0.00,47.31,0.00,
JESSIE_620_120S_E_005,0.00,51.04,0.00,
JESSIE_620_120S_E_006,0.00,43.82,0.00,
JESSIE_620_120S_E_007,0.00,38.66,0.00,
JESSIE_620_120S_E_008,0.00,49.10,0.00,
JESSIE_620_120S_E_009,0.00,41.23,0.00,
JESSIE_620_120S_E_010,0.00,37.23,0.00,
JESSIE_620_120S_E_011,0.00,39.87,0.00,
JESSIE_620_120S_E_012,0.00,53.35,0.00,
MAS_485_41S_W_023,0.00,57.63,0.00,
MAS_485_41S_W_024,0.00,61.72,0.00,
MAS_485_41S_W_025,0.00,61.78,0.00,
MAS_FWS_500_13S_W_033,0.00,28.59,0.00,
MST2_MV_455_E_011,0.00,25.97,0.00,
MST2_MV_455_41S_W_001,0.00,48.23,0.00,
MST2_MV_455_41S_W_002,0.00,51.50,0.00,
MST2_MV_455_41S_W_003,0.00,46.61,0.00,
MST2_MV_455_41S_W_004,0.00,37.59,0.00,
MST2_MV_455_41S_W_005,0.00,16.46,0.00,
MST2_MV_455_41S_W_006,0.00,15.84,0.00,
MST2_MV_455_41S_W_007,0.00,19.97,0.00,
MST2_MV_455_41S_W_008,0.00,21.16,0.00,
MST2_MV_455_41S_W_009,0.00,32.09,0.00,
MST2_MV_455_41S_W_010,0.00,22.72,0.00,
515_SDN_15S_W_018,0.00,69.74,0.00,
515_SDN_15S_W_019,0.00,64.39,0.00,
515_SDN_15S_W_020,0.00,66.17,0.00,
515_SDN_15S_W_021,0.00,61.66,0.00,
515_SDN_15S_W_022,0.00,63.20,0.00,
515_SDN_16S_E_027,0.00,44.61,0.00,
515_SDN_16S_E_028,0.00,43.09,0.00,
515_SDN_16S_E_029,0.00,26.39,0.00,
515_SDN_16S_E_030,0.00,27.66,0.00,
515_SDN_16S_E_031,0.00,32.99,0.00,
515_SDN_16S_E_032,0.00,29.62,0.00,
515_SDN_16S_E_033,0.00,28.89,0.00,
