Start X,Start Y,Angle
615938.5447,814779.9662,27
615941.5613,814778.6170,28
615946.0326,814777.0894,20
615952.6450,814775.2012,21
615959.7686,814771.9425,27
615961.2179,814771.4114,27
615971.0331,814766.9184,25
615978.6235,814762.8245,26
615980.8200,814761.6421,28
615988.4252,814757.1759,27
615991.3991,814755.4730,22
615995.8485,814752.3173,23
615998.9213,814750.9694,12
616002.2330,814749.8712,19
616004.8789,814748.6748,19
616007.2099,814748.2593,11
616017.5135,814747.3040,0
616020.9775,814747.1151,2
616024.4209,814746.9254,7
616033.1539,814745.7383,4
616037.2098,814745.7504,355
616042.9700,814746.2866,2
616047.7898,814746.7112,3
616053.7217,814747.0574,354
